,time,minutes,hours,location,account,message,spellcheck_msg,cleaned_msg,cluster
890,2020-04-06 08:14:00,494,8,UNKNOWN,CelebrityBrattyMatty,Is everyone going to my concert  ,Is everyone going to my concert,Is everyone going concert,55.0
4279,2020-04-06 14:42:00,882,14,Chapparal,ChemistryTeacherRichardNelson,@VeryPopularSingerLalishoudlaManoban You shoudlhould be practicing for your concert,a VeryPopularSingerLalisaManoban you should be practicing for your concert,VeryPopularSingerLalisaManoban practicing concert,29.0
5697,2020-04-06 15:58:00,958,15,Old Town,Foster1995,Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater  Lacki will perform her new hit I quake when I hear your voice ,rickets are still available for the back asile april 8th concert in the old down theater back will perform her new hit a quaker when a hear your voice,rickets still available back asile april 8th concert old theater back perform new hit quaker hear voice,61.0
7450,2020-04-06 19:23:00,1163,19,Southwest,FleetABread1963,it someone anythingDAY  anything I left the hotel and coach is either going to miss he anyone wrong info  Regular clarsees in someone first concert to be asleep  Instead I had my daily dose of wondergirls  off to bed now ,it someone aDAY anything a left the hotel and coach is either going to miss he anyone wrong into regular classes in someone first concert to be asleep instead a had my daily dose of wondergirls off to bed now,someone aDAY anything left hotel coach either going miss anyone wrong regular classes someone first concert asleep instead daily dose wondergirls bed,18.0
10840,2020-04-07 10:57:00,2097,34,West Parton,ThomasMouse2007,i can relate to your concert there  someone or anyone Flatly to win ,i can relate to your concert there someone or anyone Flatly to win,relate concert someone anyone Flatly win,18.0
13244,2020-04-07 15:52:00,2392,39,Weston,WatchesDebbie_JacksonLion,is packing for my real name  I really like that may be witnessing a live concert streams  it quit drinking that hatroade ,is packing for my real name a really like that may be witness a live concert streams it quit drinking that hatroade,packing real name really like may witness live concert streams quit drinking hatroade,49.0
14965,2020-04-07 18:48:00,2568,42,Southton,Heather2011R,today  at work  got here a bit about jobros concert in someone he she I could post she I always use more often,today at work got here a bit about jobros concert in someone he she I could post she I always use more often,today work got bit jobros concert someone I could post I always use often,7.0
33098,2020-04-09 12:00:00,5040,84,Old Town,CleverPlateVincent,Lacki Dasical  the famous singer who was in town for a concert visited survivors at the disaster shelter set up in Old Town s civic arena  She accompanied by at least 20 reporters and several arseistants  #WinsDasical,back radical the famous singer who was in town for a concert visited survivor at the disaster shelter set up in old down s civic arena the accompanied by at least 20 reporter and several assistants a sins,back radical famous singer town concert visited survivor disaster shelter set old civic arena accompanied least 20 reporter several assistants sins,61.0
33265,2020-04-09 12:12:00,5052,84,Safe Town,AlwaysSafePowerCompany,We know that times are rough and we as a community are going through a hard time  For this reason  we are raffling free Lacki Dasical concert tickets to our loyal customers in light of her reappearance to celebrate our hard work as a community  #alwayssafe is always on your side ,he know that times are rough and we as a community are going through a hard time for this reason we are ruffling free back radical concert tickets to our loyal customers in light of her reappearance to celebrate our hard work as a community a alwayssafe is always on your side,know times rough community going hard time reason baffling free back radical concert tickets loyal customers light reappearance celebrate hard work community alwayssafe always side,3.0
40100,2020-04-10 09:00:00,6300,105,<Location with-held due to contract>,WFuriousL,KRAK TV  Lakci Dasicle and several other celebrities will perform tonight at the Union Hall in neighborhood 13  Free concert  rain or shine ,KRAK TV Lakci Dasicle and several other celebrities will perform tonight at the Union Hall in neighborhood 13 Free concert rain or shine,KRAK TV Lakci Dasicle several celebrities perform tonight Union Hall neighborhood 13 Free concert rain shine,24.0
