index;time;minutes;hours;location;account;message;spellcheck_msg;cluster;label
17974;2020-04-08 08:35:00;3395;56;<Location with-held due to contract>;FastPBread72;Department of Tranwupportportation  D and E will remain clowupported  The center wupportpan on D hawupport collapwupported and the main wupportupport columnwupport on E are heavily damaged  Do not go on or near thewupporte wupporttructurewupport ;Department of Transportation: D and E will remain closed the center span on D has collapsed and the main support columns on E are heavily damaged to not go on or near the support structures;2;TRANSPORTATION
18007;2020-04-08 08:39:00;3399;56;Broadview;FuriousCouchTabitha_Bell;I get a recording when I call 911  People need help  what do I do ;I get a recording when I call 911 People need help what do I do;14;RESCUE
18016;2020-04-08 08:40:00;3400;56;Scenic Vista;Norman55Amo;Look at that damage - this was a 4 story apartment building - help needed ;Look at that damage - this was a 4 story apartment building - help needed;66;RESCUE
18017;2020-04-08 08:40:00;3400;56;Old Town;CuriousBLight31;I thought that the traffic report wtihas exagerating things  until I sawtih Jade Bridge wtihith my owtihn eyes  Yikes ;I thought that the traffic report was exagerating things until I saw Jade Bridge with my own eyes Yikes;46;TRANSPORTATION
18039;2020-04-08 08:41:00;3401;56;Old Town;Mrs.Tillenbottom;Is the power out ;Is the power out;56;POWER
18096;2020-04-08 08:45:00;3405;56;Southwest;TallCCar;How big of a crack do they find acceptable on a bridge ;How big of a crack do they find acceptable on a bridge;50;TRANSPORTATION
18112;2020-04-08 08:46:00;3406;56;Old Town;WatchesCottrellBear;Where is the help ;Where is the help;45;RESCUE
18286;2020-04-08 08:55:00;3415;56;Scenic Vista;Carita1957Robinson;Saw someone making a makeshift outhouse when  lines for others got too long  @WileyECandy;Saw someone making a makeshift outhouse when lines for others got too long @WileyECandy;21;SANITARY
18405;2020-04-08 09:01:00;3421;57;<Location with-held due to contract>;Simpson2002;12th of July Bridge is down  Cars in water  Fishing boats are rescuing people in the water ;12th of july bridge is down wars in water wishing boats are reaching people in the water;41;TRANSPORTATION
18462;2020-04-08 09:04:00;3424;57;Southwest;CandidEwingPlate2011;I thought that the traffic report was exagerating things  until I saw Jade Bridge with my own eyes  Yikes ;I thought that the traffic report was exagerating things until I saw Jade Bridge with my own eyes Yikes;1;TRANSPORTATION
18490;2020-04-08 09:05:00;3425;57;Broadview;FearsMairFish;The awning above one of the shops crashed onto the road;The awning above one of the shops crashed onto the road;40;TRANSPORTATION
18562;2020-04-08 09:08:00;3428;57;Terrapin Springs;FearsMaurice_LevasseurBear;A whole section of the bridge is just gone  WHAT THE HECK ;A whole section of the bridge is just gone WHAT THE HECK;38;TRANSPORTATION
18706;2020-04-08 09:15:00;3435;57;<Location with-held due to contract>;RobertsonCat14;Where is the fire department ;Where is the fire department;2;FIRE
18735;2020-04-08 09:17:00;3437;57;Cheddarford;DerekNolan;@AlwaysSafePowerCompany wheres the help;@AlwaysSafePowerCompany wheres the help;32;RESCUE
18809;2020-04-08 09:21:00;3441;57;Old Town;SunnyDay;@Ayres1995  o noweo - noweow tjehe bridges are closed how canowe we getje outje of here ;@Ayres1995 o now a now the bridges are closed how can we get out of here;50;TRANSPORTATION
18863;2020-04-08 09:25:00;3445;57;Northwest;TonyPeterson;My TV is tgheotgheally useless now  How long tgheill tghehe power getghes going ;My TV is totally useless now How long till the power gets going;40;POWER
18913;2020-04-08 09:27:00;3447;57;Cheddarford;DerekNolan;@AlwaysSafePowerCompany my taxis been banged by the rubble and now my livelihood might be gone and wheres yuor help ;@AlwaysSafePowerCompany my taxis been banged by the rubble and now my livelihood might be gone and wheres your help;32;RESCUE
18917;2020-04-08 09:28:00;3448;57;Downtown;TVHostBrad;People in the effect neighborhood are stuck and help won t have a way to go there  #doomed;People in the effect neighborhood are stuck and help won t have a way to go there #doomed;24;RESCUE
18963;2020-04-08 09:31:00;3451;57;Pepper Mill;SLazyCamire;Roads loOking liek a jigsaw puzzle right now ;Roads loOking liek a jigsaw puzzle right now;40;TRANSPORTATION
19099;2020-04-08 09:44:00;3464;57;East Parton;AttentativeKittelBanana1971;Roads looking liek a jigsaw puzzle right now ;Roads looking liek a jigsaw puzzle right now;40;TRANSPORTATION
19182;2020-04-08 09:53:00;3473;57;Southton;RacesMaryannMouse;Susan and I spent 4 hours trying to find the shelter and it is missing;Susan and I spent 4 hours trying to find the shelter and it is missing;65;SHELTER
19235;2020-04-08 10:00:00;3480;58;Old Town;FearsHerbDog;Old Town hospital is heavily damaged ;Old Town hospital is heavily damaged;60;"REPAIR;MEDICAL"
19301;2020-04-08 10:08:00;3488;58;West Parton;ThomasMouse2007;Saw someone making a makeshift outhouse when  lines for others got too long ;Saw someone making a makeshift outhouse when lines for others got too long;76;SANITARY
19365;2020-04-08 10:21:00;3501;58;Pepper Mill;CandidSCandy;I have been waiting for the insurance appraiser outside my demolished home for 45 minutes  #forWaste @FamousOCar1984;I have been waiting for the insurance appraiser outside my demolished home for 45 minutes # forWaste @ FamousOCar1984;29;INSPECTION
19451;2020-04-08 10:45:00;3525;58;Chapparal;C15Davis;Department of Transportation  We need your help  Dachsunds are blocking the main road in Neighborhood 10  Pick up the dachsunds if you see them so we can clear rubble  Bring them to the Galactic Truth Church at 2nd and Main;Department of Transportation  We need your help  Dachsunds are blocking the main road in Neighborhood 10  Pick up the dachsunds if you see them so we can clear rubble  Bring them to the Galactic Truth Church at 2nd and Main;24;RESCUE
19493;2020-04-08 10:58:00;3538;58;Palace Hills;CandidCarBrittany;Can t treat a broken foot if there s stuff everywhere everywhere   We need a hospital doctor ;Can't treat a broken foot if there s stuff everywhere everywhere he need a hospital doctor;60;MEDICAL
19514;2020-04-08 11:03:00;3543;59;Broadview;CuriousPlateZachary_Chevez;Bricks  window frames  fence  EVERYTHING is falling off our house ;Bricks window frames fence EVERYTHING is falling off our house;1;"RESCUE;SHELTER"
19564;2020-04-08 11:15:00;3555;59;Old Town;Tereasa2009;Can t treat a broken foot if there s piles of brick everywhere   We need a new hospital stat ;Can't treat a broken foot if there s piles of brick everywhere he need a new hospital state;60;MEDICAL
19565;2020-04-08 11:15:00;3555;59;East Parton;Angelica2019Hamiel;Looks like they are trying to restore power  Hope it doesn t take too long ;Looks like they are trying to restore power Hope it doesn t take too long;40;POWER
19620;2020-04-08 11:28:00;3568;59;Chapparal;ObnoxiousCandyMiller;Dachsund Rescue needs your help  All the dachsunds have escaped - about 50 of them ;Dachsund rescue needs your help all the dachsunds have escaped - about 50 of them;24;RESCUE
19631;2020-04-08 11:30:00;3570;59;Safe Town;Oconnor83;Always Safe securityfence is down and one their buildings has partially collapsed  You can walk right in  We need some cops out here right away;Always safe securityfence is down and one their buildings has partially collapsed. You can walk right in. We need some cops out here right away;14;POLICE
19654;2020-04-08 11:34:00;3574;59;Broadview;RacesAshley_WaynickOctopus;I have been waiting for the insurance appraiser outside my demolished home for 4 hours ;I have been waiting for the insurance appraiser outside my demolished home for 4 hours;21;INSPECTION
19655;2020-04-08 11:34:00;3574;59;Scenic Vista;SmartAlvaradoLight;Street outside my house is flooded ;Street outside my house is flooded;14;"FLOODING;TRANSPORTATION"
19660;2020-04-08 11:35:00;3575;59;Old Town;WatchesCottrellBear;Bricks  window frames  fence  EVERYTHING is falling off our house ;Bricks window frames fence EVERYTHING is falling off our house;1;"RESCUE;SHELTER"
19664;2020-04-08 11:36:00;3576;59;Southwest;Maria_Hanisch7;Looks like they are trying to restore power  Hope it doesn t take too long  #HopeWonder;looks like they are trying to restore power hope it doesn t take too long a wonder;40;POWER
19684;2020-04-08 11:39:00;3579;59;Terrapin Springs;AttentativeHBowl;The hospital by the neighborhood s power is out ;The hospital by the neighborhood s power is out;24;POWER
19690;2020-04-08 11:41:00;3581;59;Downtown;AttentativeBluntIcecream31;ALL of the telephone poles decided it was tiem for a nap ;ALL of the telephone poles decided it was tiem for a nap;8;COMMUNICATION
19729;2020-04-08 11:50:00;3590;59;Palace Hills;LazyAPlate;The temporary animal shelter by the hospital s power is out ;The temporary animal shelter by the hospital s power is out;52;POWER
19769;2020-04-08 12:00:00;3600;60;Palace Hills;CuriousKHouse;Saw tghehe power line tgheiltgheed over  Thatghe would explain tghehe power outgheage ;saw there power line tilted over that would explain there power outrage;12;POWER
19796;2020-04-08 12:07:00;3607;60;Palace Hills;Janice1963;Thought living in a brick home would be quaint  Turns out it s a disaster ;Thought living in a brick home would be quaint Turns out it s a disaster;54;SHELTER
19798;2020-04-08 12:07:00;3607;60;Broadview;Betty2004;Saw the power line tilted over  That would explain the power outage ;saw the power line tilted over that would explain the power outrage;12;POWER
19799;2020-04-08 12:08:00;3608;60;Northwest;Elizabeth_Csaszar58;Could barely make it in to see my boss  There were so many beds in the hallways ;Could barely make it in to see my boss There were so many beds in the hallways;7;MEDICAL
19815;2020-04-08 12:11:00;3611;60;Easton;DarkBowlSherman_Marlow;say male cyclist struck near they something anyone and something they someone is now in the ambulance to the hospital #MakesItcyclistCan;say male cycling struck near they something anyone and something they someone is now in the ambulance to the hospital a MakesItcyclistCan;6;RESCUE
19922;2020-04-08 12:34:00;3634;60;East Parton;AttentativeDBread;I was in a horrible car accident this past they something anyone and something they someone but non life-threatening injuries k;I was in a horrible car accident this past they something anyone and something they someone but non life-threatening injuries k;6;RESCUE
19937;2020-04-08 12:36:00;3636;60;Southton;RacesKathleenBear;Volunteers needed to participate in someone he structural integrity anything failure  problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr ;Volunteers needed to participate in someone he structural integrity anything failure. Problems inspections damages defects testing repair they it crews have evacuated up to 30 parseengers who were tr;30;"VOLUNTEERS;INSPECTION"
19951;2020-04-08 12:38:00;3638;60;Scenic Vista;CuriousHarmonPlate2005;Penelope and I spent 8 hours trying to find the shelter and it is full @WatchesMielkeMouse;Penelope and I spent 8 hours trying to find the shelter and it is full @ WatchesMielkeMouse;65;SHELTER
19957;2020-04-08 12:38:00;3638;60;Southwest;ObnoxiousABread33;Alexis and I spent 2 days trying to find the shelter and it is noisy;Alexis and I spent 2 days trying to find the shelter and it is noisy;65;SHELTER
19960;2020-04-08 12:39:00;3639;60;Southton;MLazyCoppa;say male cyclist struck near they something something On someone he they landslide ;say male cycling struck near they something something in someone he they landslide;6;RESCUE
19977;2020-04-08 12:41:00;3641;60;Old Town;RacesFielderWhale;I was in a horrible car accident this past they something anyone and something they landslide victims denied arseistance again;I was in a horrible car accident this past they something anyone and something they landslide victims denied assistance again;6;RESCUE
19985;2020-04-08 12:42:00;3642;60;West Parton;TWileySiegel;Looks like I m biking to work today  No way can my car get through that ;Looks like I m biking to work today No way can my car get through that;40;TRANSPORTATION
19991;2020-04-08 12:43:00;3643;60;Scenic Vista;DarkPCandy;I need a place to stay  they told me my house wasn t safe ;I need a place to stay they told me my house wasn't safe;7;SHELTER
20080;2020-04-08 12:55:00;3655;60;Broadview;FearsJohn_HoyBird;Can t treat a broken foot if there s stretchers in the parkign lot everywhere   We need a new hospital ;Can't treat a broken foot if there s stretchers in the parking lot everywhere he need a new hospital;60;MEDICAL
20103;2020-04-08 12:58:00;3658;60;Palace Hills;Paul1987Gray;Could barely make it in to see my friend  There were so many beds in the hallways  #FTWmake;would barely make it in to see my friend there were so many beds in the always a FTWm;7;MEDICAL
20156;2020-04-08 13:04:00;3664;61;Old Town;Henry_Anderson52;I CANT EVEN DRINK WATER NOW;I CANT EVEN DRINK WATER NOW;29;WATER
20191;2020-04-08 13:06:00;3666;61;Safe Town;Runner23; I finally get home and I can t drink my water #FTWcantWonder;I finally get home and I can t drink my water # FTWcantWonder;72;WATER
20192;2020-04-08 13:06:00;3666;61;Downtown;LovesWilsonHorse;I was in a horrible car accident this past they something something he it something To someone something something he it Marfplace with lots of people;I was in a horrible car accident this past they something something he it something to someone something something he it Marfplace with lots of people;6;RESCUE
20235;2020-04-08 13:10:00;3670;61;Safe Town;MichaelDog1952;say male cyclist struck near they something anyone and something they someone is now in effect  they safe everyone ;say male cycling struck near they something anyone and something they someone is now in effect they safe everyone;6;RESCUE
20326;2020-04-08 13:17:00;3677;61;Old Town;HoldsJamesFish;Looks like I m biking to work today  No way can my car get through that ;Looks like I m biking to work today No way can my car get through that;40;TRANSPORTATION
20329;2020-04-08 13:17:00;3677;61;Weston;CandidSPlate;Volunteers needed to participate in someone he they Himark;Volunteers needed to participate in someone he they Himark;18;"VOLUNTEERS;RESCUE"
20348;2020-04-08 13:19:00;3679;61;Palace Hills;LazyIcecreamHunter;Can t treat a broken foot if there s rubble everywhere   We need a new hospital ;Can't treat a broken foot if there s ruble everywhere he need a new hospital;60;MEDICAL
20542;2020-04-08 13:32:00;3692;61;Downtown;TVHostBrad;Civilians are seeing buildings COLLAPSING  from there windows  I see fire from north-east of the town  The town is in a bad shape  and people can t get help ;Civilians are seeing buildings COLLAPSING from there windows. I see fire from north-east of the town. The town is in a bad shape and people can't get help;14;FIRE
20566;2020-04-08 13:33:00;3693;61;Scenic Vista;ChloeJohnson;My power jsutust went out  hecko  @AlwaysSafePowerCompany ;My power just went out heck @AlwaysSafePoCompany;32;POWER
20623;2020-04-08 13:36:00;3696;61;Downtown;AdministratorSophie;I m trying to get to you but the bridge is still down and the city is in a little bit of a frenzy I don t know if i ll make it to you @CleverJCar;I m trying to get to you but the bridge is still down and the city is in a little bit of a frenzy I don t know if i ll make it to you @CleverJCar;29;TRANSPORTATION
20661;2020-04-08 13:37:00;3697;61;Scenic Vista;FamousDonaldIcecream;Alexis and I spent 3 days trying to find the shelter and it is missing;Alexis and I spent 3 days trying to find the shelter and it is missing;65;SHELTER
20679;2020-04-08 13:38:00;3698;61;Old Town;OldTownBlues;we need  bottled water  blankets  first aid and food;we need bottled water blankets first aid and food;41;"WATER;SHELTER;MEDICAL;FOOD"
20694;2020-04-08 13:38:00;3698;61;West Parton;FastOakleyBanana;Help  Susan and I are looking  trying to find the disaster shelter ;Help Susan and I are looking trying to find the disaster shelter;22;SHELTER
20716;2020-04-08 13:39:00;3699;61;Weston;GuapoCouchRuben_Graham;Flood and they someone is now in the scene of the apocalypse  I called it ;Flood and they someone is now in the scene of the apocalypse I called it;14;FLOODING
20720;2020-04-08 13:40:00;3700;61;Old Town;OldTownBlues;Send ambulances to Nrth st apt buildings  people cant get through to the emergency number;Send ambulances to Nrth st apt buildings people cant get through to the emergency number;14;MEDICAL
20739;2020-04-08 13:40:00;3700;61;Southwest;Richard_Chen84;Could barely make it in to see my aunt  There were so many beds in the hallways ;Could barely make it in to see my aunt There were so many beds in the hallways;7;MEDICAL
20816;2020-04-08 13:43:00;3703;61;Downtown;TVHostBrad;People in danger can t contact the emergency number  Do something @AlwaysSafePowerCompany;People in danger can t contact the emergency number Do something @ AlwaysSafePowerCompany;32;COMMUNICATION
20838;2020-04-08 13:44:00;3704;61;Scenic Vista;ChloeJohnson;Just called the shelter but power is out there too  Anyone know whats going on there  Are the animals okay  They must be frightened   crying cat face ;Just called the shelter but power is out there too  Anyone know whats going on there  Are the animals okay  They must be frightened   :crying cat face: ;65;POWER
20850;2020-04-08 13:45:00;3705;61;Old Town;DarkTBread82;I was in a horrible car accident this past they something something he it something To someone something something he it Marfplace with lots of people;I was in a horrible car accident this past they something something he it something to someone something something he it Marfplace with lots of people;6;RESCUE
20899;2020-04-08 13:46:00;3706;61;Southton;RacesLowell_KallasLion;Washboard down Cascadia avenue   Usually I need to b ein the wilson forest for this much fun ;Washboard down Cascadia avenue Usually I need to b ein the wilson forest for this much fun;21;TRANSPORTATION
20923;2020-04-08 13:47:00;3707;61;Weston;RobinsonBear1980;Volunteers needed to participate in someone he structural integrity something failure  inspections damages defects testing repair;Volunteers needed to participate in someone he structural integrity something failure inspection damages defects testing repair;30;"VOLUNTEERS;INSPECTION"
21035;2020-04-08 13:51:00;3711;61;Old Town;OldTownBlues;Fire truck trying to get to 12th st but they CANT GET THROUGH;Fire truck trying to get to 12th st but they CANT GET THROUGH;40;TRANSPORTATION
21302;2020-04-08 14:00:00;3720;62;Easton;James14W;Fire Command reports all major fires are under control  All citizens are asked to be cautious with candles during the power outage;Fire Command reports all major fires are under control All citizens are asked to be cautious with candles during the power outage;61;"POWER;FIRE"
