Palace Hills:
energy: 0.027750323120200714
firefighter: 0.021287919105907396
garbage: 0.001976735345548544
gas: 0.004637725233786969
hospital: 0.012620694898502243
nuclear: 0.04865810081350262
shelters: 0.01132821409564358
traffic: 0.022808484756329354
water: 0.01953926860792215

Northwest:
energy: 0.026229757469778757
firefighter: 0.02060366456321752
garbage: 0.002432905040675131
gas: 0.008515167642362959
hospital: 0.011404242378164677
nuclear: 0.04645328062039079
shelters: 0.01026381814034821
traffic: 0.022884513038850453
water: 0.02584961605717327

Old Town:
energy: 0.0211358625408652
firefighter: 0.015357713069261765
garbage: 0.0013685090853797614
gas: 0.00600623431916673
hospital: 0.009123393902531743
nuclear: 0.03748194328290124
shelters: 0.007222686839504296
traffic: 0.01938721204287995
water: 0.019159127195316657

Safe Town:
energy: 0.015129628221698471
firefighter: 0.013685090853797613
garbage: 0.0008363111077320764
gas: 0.007526799969588687
hospital: 0.005017866646392458
nuclear: 0.03003117159583365
shelters: 0.0027370181707595228
traffic: 0.015129628221698471
water: 0.014521401961529689

Southwest:
energy: 0.034592868547099524
firefighter: 0.030639397856002434
garbage: 0.0014445373679008592
gas: 0.01588991104690945
hospital: 0.011784383790770167
nuclear: 0.06196305025469474
shelters: 0.011936440355812362
traffic: 0.036721660457690264
water: 0.029118832205580477

Downtown:
energy: 0.04964646848627689
firefighter: 0.043792290732152364
garbage: 0.0025849616057173268
gas: 0.019691325172964343
hospital: 0.021972173648597278
nuclear: 0.0811982057325325
shelters: 0.015129628221698471
traffic: 0.06447198357789098
water: 0.03497300995970501

Wilson Forest:
energy: 0.0003041131300843914
firefighter: 0
garbage: 0
gas: 0
hospital: 0.00007602828252109785
nuclear: 0.00045616969512658707
shelters: 0.0003041131300843914
traffic: 0.0001520565650421957
water: 0

Broadview:
energy: 0.019995438303048733
firefighter: 0.01239261005093895
garbage: 0.0007602828252109785
gas: 0.005321979776476849
hospital: 0.008895309054968449
nuclear: 0.0352771230897894
shelters: 0.005550064624040143
traffic: 0.01657416558959933
water: 0.014749486809092983

Chapparal:
energy: 0.011708355508249068
firefighter: 0.0070706302744621
garbage: 0.0008363111077320764
gas: 0.002432905040675131
hospital: 0.005093894928913556
nuclear: 0.0177145898274158
shelters: 0.0034212727134494032
traffic: 0.007982969664715274
water: 0.008363111077320764

Terrapin Springs:
energy: 0.01619402417699384
firefighter: 0.010948072683038091
garbage: 0.0009123393902531741
gas: 0.004181555538660382
hospital: 0.006158290884208926
nuclear: 0.025241389797004486
shelters: 0.005093894928913556
traffic: 0.01520565650421957
water: 0.011100129248080286

Pepper Mill:
energy: 0.009503535315137231
firefighter: 0.004789781798829164
garbage: 0.00045616969512658707
gas: 0.004409640386223675
hospital: 0.0037253858435337944
nuclear: 0.015053599939177374
shelters: 0.0019007070630274463
traffic: 0.008058997947236373
water: 0.006690488861856611

Cheddarford:
energy: 0.019843381738006538
firefighter: 0.015281684786740668
garbage: 0.0015965939329430547
gas: 0.0076788565346308825
hospital: 0.009503535315137231
nuclear: 0.032920246331635365
shelters: 0.0068425454268988065
traffic: 0.018094731240021287
water: 0.014217288831445298

Easton:
energy: 0.010643959552953698
firefighter: 0.006994601991941002
garbage: 0.0005321979776476849
gas: 0.004409640386223675
hospital: 0.003953470691097088
nuclear: 0.017106363567247016
shelters: 0.004257583821181479
traffic: 0.008211054512278567
water: 0.0076788565346308825

Weston:
energy: 0.051014977571656656
firefighter: 0.035581236219873795
garbage: 0.0014445373679008592
gas: 0.022428343343723865
hospital: 0.01733444841481031
nuclear: 0.08325096936060214
shelters: 0.016726222154641528
traffic: 0.04736562001064396
water: 0.03710180187029575

Southton:
energy: 0.04128335740895613
firefighter: 0.02927088877062267
garbage: 0.0027370181707595228
gas: 0.019615296890443244
hospital: 0.016802250437162623
nuclear: 0.0672850300311716
shelters: 0.013228921158671025
traffic: 0.042119668516688205
water: 0.03398464228693074

Oak Willow:
energy: 0.012240553485896753
firefighter: 0.010339846422869307
garbage: 0.0003041131300843914
gas: 0.006918573709419904
hospital: 0.004713753516308067
nuclear: 0.02060366456321752
shelters: 0.0031171595833650117
traffic: 0.0141412605489242
water: 0.00881928077244735

East Parton:
energy: 0.010187789857827112
firefighter: 0.005930206036645632
garbage: 0.00045616969512658707
gas: 0.002052763628069642
hospital: 0.003497300995970501
nuclear: 0.016726222154641528
shelters: 0.0034212727134494032
traffic: 0.004713753516308067
water: 0.007222686839504296

West Parton:
energy: 0.02083174941078081
firefighter: 0.014369345396487493
garbage: 0.0007602828252109785
gas: 0.009275450467573937
hospital: 0.006766517144377708
nuclear: 0.03269216148407207
shelters: 0.006614460579335513
traffic: 0.020071466585569832
water: 0.014293317113966395

Scenic Vista:
energy: 0.029575001900707065
firefighter: 0.017942674674979092
garbage: 0.0014445373679008592
gas: 0.009807648445221622
hospital: 0.010035733292784916
nuclear: 0.048886185661065916
shelters: 0.008287082794799665
traffic: 0.023568767581540334
water: 0.022504371626244964
